transaction_id,amount,reason_code,merchant_category,days_since_transaction,account_age_days,previous_chargebacks_count,customer_communication_count,has_delivery_confirmation,has_signed_receipt,refund_already_issued,avs_match,cvv_match,won_dispute
TXN100000,63.89,subscription_cancelled,travel,67,118,0,1,1,1,0,1,0,1
TXN100001,106.99,product_not_received,subscription,106,189,0,1,1,0,0,1,1,1
TXN100002,94.91,subscription_cancelled,apparel,13,1119,0,0,1,1,0,1,1,1
TXN100003,124.02,duplicate_charge,digital_goods,119,1644,0,0,1,0,1,1,1,1
TXN100004,215.15,fraud,general,25,417,0,1,1,0,0,1,1,1
TXN100005,176.55,credit_not_processed,general,49,682,1,1,1,0,0,1,1,1
TXN100006,176.59,subscription_cancelled,digital_goods,109,974,0,0,1,1,0,1,1,1
TXN100007,50.05,subscription_cancelled,apparel,86,313,0,2,0,1,0,1,1,0
TXN100008,103.9,fraud,apparel,102,439,0,1,0,0,0,1,1,0
TXN100009,358.54,product_unacceptable,travel,82,371,1,2,0,0,0,0,1,1
TXN100010,328.72,product_not_received,travel,72,2385,1,0,1,0,0,1,1,1
TXN100011,149.15,credit_not_processed,apparel,21,2341,0,3,1,0,0,1,1,1
TXN100012,265.53,duplicate_charge,electronics,119,1571,1,2,1,1,0,1,1,1
TXN100013,201.97,subscription_cancelled,digital_goods,76,1709,1,1,1,0,1,1,1,0
TXN100014,285.26,product_unacceptable,subscription,80,342,0,2,0,1,0,1,1,1
TXN100015,273.36,product_not_received,electronics,51,126,1,2,1,0,0,1,1,1
TXN100016,158.0,product_unacceptable,digital_goods,114,942,2,1,0,0,0,1,1,1
TXN100017,232.38,fraud,electronics,54,2460,0,0,1,0,0,1,1,1
TXN100018,211.25,subscription_cancelled,apparel,23,1194,1,1,0,0,1,1,1,0
TXN100019,161.05,duplicate_charge,travel,22,2019,1,3,0,1,0,1,1,1
TXN100020,136.94,subscription_cancelled,apparel,84,924,0,2,1,0,1,1,1,1
TXN100021,456.28,product_not_received,apparel,89,772,0,3,0,1,0,1,1,1
TXN100022,161.2,credit_not_processed,general,25,2030,1,3,0,0,0,1,0,1
TXN100023,254.62,credit_not_processed,apparel,84,1177,0,2,1,0,0,1,1,1
TXN100024,433.99,subscription_cancelled,apparel,119,1829,0,2,1,0,1,0,1,1
TXN100025,232.12,fraud,general,64,1816,0,0,0,0,1,1,1,0
TXN100026,225.09,product_unacceptable,travel,116,1817,0,0,1,0,0,1,1,0
TXN100027,161.87,fraud,electronics,19,1690,0,1,1,0,0,1,1,0
TXN100028,213.87,fraud,digital_goods,48,2023,0,0,0,1,0,0,1,1
TXN100029,128.55,duplicate_charge,travel,67,1157,0,2,1,1,0,1,1,1
TXN100030,741.77,subscription_cancelled,apparel,43,757,0,3,1,0,0,1,1,1
TXN100031,51.09,credit_not_processed,travel,12,1280,0,3,1,1,1,1,1,1
TXN100032,143.32,product_not_received,travel,55,811,1,1,1,0,1,1,1,0
TXN100033,234.72,product_not_received,apparel,41,108,1,2,1,1,0,1,1,1
TXN100034,225.23,product_unacceptable,subscription,25,904,0,1,1,1,0,1,1,1
TXN100035,128.39,fraud,digital_goods,45,1251,1,1,1,0,0,1,1,1
TXN100036,35.96,fraud,general,50,1300,1,2,1,1,1,1,1,1
TXN100037,58.78,product_unacceptable,electronics,106,850,0,1,1,0,0,1,1,1
TXN100038,185.35,product_not_received,apparel,59,1813,0,2,0,0,1,1,1,0
TXN100039,26.71,duplicate_charge,subscription,50,712,0,0,1,1,0,1,1,1
TXN100040,246.01,product_not_received,general,47,1618,0,0,1,1,0,1,1,1
TXN100041,347.02,subscription_cancelled,apparel,72,674,0,2,1,0,0,1,1,1
TXN100042,275.87,duplicate_charge,general,33,2466,0,1,1,0,0,1,1,1
TXN100043,312.86,product_not_received,apparel,105,1622,0,1,0,0,0,1,1,1
TXN100044,27.73,subscription_cancelled,digital_goods,50,1392,1,1,1,0,0,0,0,1
TXN100045,132.24,subscription_cancelled,apparel,51,1073,1,1,1,0,0,0,1,1
TXN100046,72.05,product_not_received,digital_goods,8,1889,0,1,1,0,0,1,0,1
TXN100047,41.8,product_not_received,general,106,1064,0,2,0,1,0,1,1,1
TXN100048,112.3,duplicate_charge,subscription,57,2008,1,0,1,1,1,1,1,1
TXN100049,427.11,fraud,subscription,17,397,0,2,1,1,0,1,1,1
TXN100050,503.74,fraud,apparel,21,2050,0,0,1,0,0,1,1,1
TXN100051,80.06,fraud,general,44,2404,1,2,0,0,0,1,1,0
TXN100052,169.51,subscription_cancelled,digital_goods,93,606,0,1,1,0,0,1,1,1
TXN100053,211.79,duplicate_charge,travel,12,559,1,0,0,1,0,1,1,1
TXN100054,132.95,duplicate_charge,subscription,15,2387,0,3,1,1,0,0,1,1
TXN100055,363.37,subscription_cancelled,travel,67,1015,1,0,1,0,0,1,0,1
TXN100056,113.63,product_unacceptable,travel,60,1738,0,2,1,1,1,1,1,1
TXN100057,99.42,product_unacceptable,digital_goods,114,475,0,0,1,0,0,1,1,1
TXN100058,83.62,fraud,travel,90,1068,1,1,0,0,1,1,1,0
TXN100059,132.25,fraud,general,79,1757,0,2,1,0,0,1,1,1
TXN100060,12.0,duplicate_charge,digital_goods,40,2237,0,2,1,0,1,1,1,1
TXN100061,137.02,product_unacceptable,travel,75,1090,0,2,1,0,0,1,1,1
TXN100062,177.02,product_unacceptable,apparel,70,187,0,1,1,1,0,1,1,1
TXN100063,185.04,subscription_cancelled,digital_goods,34,1034,0,2,1,0,0,1,1,1
TXN100064,68.42,duplicate_charge,subscription,45,1607,0,0,1,0,0,0,1,1
TXN100065,182.55,product_unacceptable,travel,111,2187,0,1,0,0,0,1,1,0
TXN100066,179.87,product_unacceptable,apparel,65,2084,0,2,0,0,0,1,0,0
TXN100067,182.71,product_not_received,travel,57,1898,0,5,1,1,0,1,1,0
TXN100068,279.46,fraud,subscription,95,413,0,1,0,1,1,1,1,0
TXN100069,66.01,product_not_received,electronics,32,1299,0,2,1,0,1,1,0,1
TXN100070,134.15,fraud,electronics,27,1440,0,0,1,1,0,0,0,0
TXN100071,33.72,product_not_received,digital_goods,118,1171,0,2,1,0,0,0,1,1
TXN100072,262.32,subscription_cancelled,travel,96,2307,1,1,0,1,0,1,1,1
TXN100073,75.09,product_not_received,apparel,51,2399,0,1,1,0,1,1,1,1
TXN100074,308.57,fraud,subscription,113,525,0,0,1,1,0,1,1,1
TXN100075,315.79,product_not_received,general,45,2391,1,1,1,1,0,0,1,1
TXN100076,144.14,product_not_received,travel,81,2116,1,2,1,0,1,1,0,0
TXN100077,138.59,duplicate_charge,digital_goods,5,1761,0,0,1,0,0,1,1,1
TXN100078,47.14,product_unacceptable,electronics,84,953,0,0,0,0,0,1,1,1
TXN100079,165.58,subscription_cancelled,subscription,22,1900,1,1,0,0,0,1,1,1
TXN100080,277.83,duplicate_charge,general,29,1465,2,2,1,0,0,1,1,1
TXN100081,198.99,product_not_received,digital_goods,97,2247,0,0,1,0,0,1,0,1
TXN100082,392.22,subscription_cancelled,travel,25,1778,0,0,1,0,0,1,0,1
TXN100083,122.61,fraud,subscription,58,2410,0,0,1,0,0,1,1,1
TXN100084,122.48,fraud,subscription,110,1048,0,1,0,1,1,1,1,0
TXN100085,79.4,fraud,electronics,114,205,0,1,0,0,0,1,1,1
TXN100086,564.42,subscription_cancelled,subscription,53,1229,1,2,1,0,1,1,1,1
TXN100087,46.74,product_unacceptable,general,10,2493,1,1,1,0,0,1,1,1
TXN100088,264.53,fraud,subscription,35,1637,0,4,1,1,0,1,0,1
TXN100089,281.68,product_unacceptable,digital_goods,74,1757,0,2,1,0,1,1,0,0
TXN100090,273.69,fraud,travel,41,1563,0,1,0,0,0,1,1,1
TXN100091,84.97,duplicate_charge,apparel,86,1481,1,2,1,0,0,1,1,1
TXN100092,144.08,product_unacceptable,travel,119,153,1,3,1,0,0,1,0,0
TXN100093,239.37,product_not_received,apparel,74,1032,0,1,1,1,0,1,1,1
TXN100094,100.87,product_not_received,digital_goods,75,216,1,2,1,0,0,1,0,1
TXN100095,129.43,duplicate_charge,apparel,64,840,1,1,1,0,1,0,1,1
TXN100096,102.27,product_not_received,digital_goods,23,1799,0,1,1,0,0,1,1,1
TXN100097,173.8,fraud,digital_goods,69,2010,0,0,1,0,0,1,0,1
TXN100098,165.71,fraud,electronics,111,559,0,2,0,0,0,1,1,1
TXN100099,438.3,credit_not_processed,subscription,83,1636,1,1,1,0,1,1,1,0
TXN100100,242.96,credit_not_processed,digital_goods,90,566,0,1,1,1,0,1,1,1
TXN100101,56.96,duplicate_charge,general,103,501,0,0,1,0,0,1,1,1
TXN100102,61.02,product_not_received,apparel,47,2399,0,0,1,0,0,1,1,0
TXN100103,267.71,credit_not_processed,subscription,41,1524,1,0,0,0,0,1,1,1
TXN100104,164.43,subscription_cancelled,apparel,116,493,1,0,1,1,0,1,1,1
TXN100105,543.0,duplicate_charge,travel,55,352,0,5,0,0,0,1,1,1
TXN100106,542.0,product_unacceptable,digital_goods,88,123,0,1,0,1,0,1,0,0
TXN100107,79.02,product_not_received,digital_goods,76,1242,0,0,1,1,0,1,1,1
TXN100108,201.13,fraud,travel,15,253,1,3,1,1,0,1,1,1
TXN100109,61.68,credit_not_processed,subscription,38,1458,0,1,1,0,0,1,1,1
TXN100110,264.66,product_unacceptable,apparel,39,1084,1,2,1,1,0,1,1,1
TXN100111,479.41,fraud,general,22,1589,1,3,1,1,0,1,1,1
TXN100112,181.89,product_not_received,apparel,93,518,0,0,0,1,0,1,1,1
TXN100113,119.34,product_unacceptable,apparel,115,363,0,3,0,0,1,1,1,0
TXN100114,215.69,fraud,apparel,115,251,2,0,1,0,0,1,1,1
TXN100115,302.13,subscription_cancelled,general,24,238,0,3,1,0,0,1,1,1
TXN100116,303.49,subscription_cancelled,electronics,54,180,0,1,1,1,0,0,1,1
TXN100117,120.36,duplicate_charge,digital_goods,28,646,0,2,0,1,0,0,1,1
TXN100118,98.89,product_not_received,digital_goods,8,2001,0,1,1,0,0,1,1,1
TXN100119,193.63,duplicate_charge,subscription,74,1517,0,1,1,1,0,1,1,1
TXN100120,126.55,duplicate_charge,digital_goods,103,625,1,0,0,0,0,1,1,0
TXN100121,363.46,duplicate_charge,general,10,2329,0,1,1,1,0,1,1,1
TXN100122,125.4,fraud,subscription,77,1902,1,4,1,0,0,1,1,1
TXN100123,172.6,product_not_received,subscription,5,1947,0,1,1,1,0,0,1,1
TXN100124,211.98,fraud,subscription,101,2246,1,0,0,0,1,1,1,0
TXN100125,48.29,product_unacceptable,electronics,8,1864,0,1,0,1,1,1,1,0
